talk_time,battery_power,pc,fc,blue,dual_sim,four_g,three_g,touch_screen,wifi,mobile_wt,px_width,sc_h,sc_w,m_dep,n_cores,ram,werf,int_memory,px_height,clock_speed,Unnamed: 0,index
10.0,704.0,10.0,8.0,1.0,0.0,1.0,1.0,1.0,1.0,80.0,1509.0,9.0,3.0,0.2,1.0,1122.0,9156615,29.0,1108.0,2.7,14482,586
8.0,1944.0,10.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,87.0,1362.0,7.0,3.0,0.8,4.0,2560.0,9156615,31.0,1111.0,1.8,8520,1271
4.0,1308.0,7.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,106.0,1215.0,15.0,2.0,0.7,3.0,3355.0,9156615,61.0,59.0,1.9,13898,2094
8.0,977.0,7.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,181.0,566.0,7.0,1.0,0.6,6.0,1206.0,9156615,57.0,63.0,1.1,158,2198
9.0,1190.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,93.0,1646.0,13.0,7.0,0.2,5.0,3610.0,9156615,40.0,1399.0,2.0,7719,1653
9.0,1403.0,3.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,164.0,1251.0,13.0,9.0,0.1,5.0,3371.0,9156615,26.0,461.0,2.7,3746,690
7.0,707.0,17.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,131.0,574.0,9.0,2.0,0.8,3.0,3838.0,9156615,25.0,495.0,2.1,1986,414
15.0,1225.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,155.0,982.0,16.0,8.0,0.1,5.0,1970.0,9156615,15.0,840.0,2.4,1395,494
11.0,1289.0,12.0,10.0,0.0,0.0,1.0,1.0,1.0,0.0,178.0,899.0,6.0,2.0,1.0,6.0,1043.0,9156615,25.0,765.0,0.9,7284,453
5.0,928.0,13.0,11.0,1.0,1.0,0.0,0.0,1.0,0.0,80.0,1243.0,19.0,10.0,0.7,8.0,666.0,9156615,56.0,221.0,0.5,971,298
10.0,1572.0,8.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,157.0,1937.0,12.0,8.0,0.2,7.0,2462.0,9156615,58.0,1109.0,0.6,13402,2065
18.0,1927.0,12.0,3.0,0.0,1.0,0.0,0.0,1.0,1.0,190.0,1506.0,16.0,11.0,0.4,8.0,2916.0,9156615,11.0,491.0,0.9,5813,1459
14.0,1775.0,7.0,3.0,1.0,0.0,0.0,1.0,1.0,1.0,163.0,1869.0,19.0,13.0,0.1,1.0,2343.0,9156615,41.0,1633.0,1.5,9668,109
11.0,1732.0,9.0,4.0,1.0,0.0,1.0,1.0,0.0,1.0,119.0,881.0,16.0,7.0,0.8,8.0,1308.0,9156615,12.0,824.0,1.1,1505,101
8.0,550.0,17.0,16.0,1.0,0.0,1.0,1.0,0.0,0.0,145.0,1930.0,18.0,5.0,0.1,2.0,302.0,9156615,23.0,486.0,0.5,4155,771
10.0,1859.0,7.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,164.0,1654.0,17.0,1.0,0.7,1.0,1067.0,9156615,22.0,1004.0,0.5,5753,5
5.0,1269.0,15.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,118.0,1920.0,18.0,5.0,0.8,2.0,665.0,9156615,52.0,1597.0,1.3,1513,567
18.0,826.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,88.0,786.0,9.0,3.0,0.3,4.0,2863.0,9156615,58.0,179.0,2.4,9777,126
15.0,618.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,86.0,1688.0,13.0,10.0,0.3,1.0,1051.0,9156615,6.0,1314.0,2.1,8721,344
16.0,951.0,17.0,6.0,0.0,0.0,1.0,1.0,1.0,0.0,81.0,935.0,16.0,11.0,0.6,2.0,1083.0,9156615,15.0,854.0,0.5,11610,1412
11.0,1719.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,187.0,520.0,10.0,1.0,0.1,3.0,2610.0,9156615,52.0,417.0,2.1,5510,1887
7.0,1957.0,16.0,11.0,0.0,1.0,0.0,1.0,0.0,1.0,181.0,1732.0,12.0,0.0,0.6,3.0,3801.0,9156615,31.0,396.0,0.9,245,128
8.0,882.0,16.0,9.0,0.0,1.0,1.0,1.0,0.0,1.0,151.0,884.0,19.0,11.0,0.2,6.0,751.0,9156615,28.0,248.0,0.7,12172,1360
13.0,864.0,7.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0,103.0,1805.0,12.0,8.0,0.3,3.0,1904.0,9156615,35.0,663.0,1.7,12784,1051
7.0,961.0,16.0,10.0,1.0,1.0,0.0,1.0,1.0,1.0,152.0,621.0,15.0,6.0,0.3,6.0,2981.0,9156615,51.0,554.0,1.5,1919,2058
3.0,1802.0,9.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,101.0,590.0,14.0,7.0,0.6,7.0,696.0,9156615,10.0,253.0,2.7,5555,1917
9.0,1524.0,20.0,11.0,0.0,1.0,1.0,1.0,1.0,1.0,96.0,740.0,7.0,0.0,1.0,4.0,1936.0,9156615,41.0,184.0,2.5,8406,1204
7.0,1441.0,17.0,11.0,0.0,1.0,1.0,1.0,0.0,1.0,118.0,1071.0,16.0,4.0,0.1,8.0,2317.0,9156615,3.0,577.0,2.1,5524,164
20.0,502.0,8.0,7.0,0.0,0.0,0.0,1.0,1.0,0.0,82.0,1159.0,5.0,4.0,1.0,6.0,2666.0,9156615,52.0,281.0,0.8,14580,1618
6.0,1322.0,3.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,157.0,708.0,15.0,8.0,0.1,1.0,3684.0,9156615,35.0,443.0,2.3,1880,1755
12.0,1628.0,13.0,11.0,1.0,1.0,0.0,1.0,1.0,1.0,136.0,1713.0,17.0,11.0,0.1,2.0,3358.0,9156615,56.0,500.0,1.8,13399,1574
13.0,1566.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,126.0,1930.0,14.0,9.0,0.5,2.0,659.0,9156615,20.0,1603.0,0.5,8482,1247
12.0,630.0,13.0,9.0,0.0,0.0,1.0,1.0,0.0,0.0,180.0,1448.0,12.0,8.0,0.5,8.0,1212.0,9156615,14.0,66.0,2.0,7783,1432
19.0,801.0,4.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,165.0,879.0,17.0,4.0,0.4,7.0,1617.0,9156615,63.0,650.0,2.2,11461,2076
4.0,1731.0,18.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,163.0,1988.0,5.0,1.0,0.5,6.0,3892.0,9156615,4.0,809.0,1.4,14920,1504
15.0,541.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,127.0,1873.0,19.0,9.0,0.4,4.0,1019.0,9156615,10.0,1836.0,1.0,1129,1473
16.0,1924.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,136.0,1923.0,10.0,9.0,0.9,6.0,3646.0,9156615,59.0,1438.0,2.6,860,1316
17.0,1164.0,6.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,88.0,1656.0,11.0,10.0,0.3,1.0,3859.0,9156615,61.0,1107.0,2.6,13970,1233
10.0,1713.0,17.0,5.0,0.0,1.0,1.0,1.0,0.0,0.0,104.0,890.0,11.0,10.0,0.9,7.0,971.0,9156615,20.0,237.0,3.0,2615,986
8.0,1563.0,13.0,10.0,0.0,1.0,0.0,0.0,0.0,1.0,151.0,572.0,11.0,1.0,0.1,7.0,3922.0,9156615,16.0,410.0,1.7,10482,2431
10.0,1095.0,5.0,4.0,1.0,0.0,0.0,1.0,1.0,0.0,197.0,1247.0,9.0,1.0,0.5,1.0,560.0,9156615,45.0,179.0,0.5,5384,1068
3.0,1366.0,9.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,150.0,964.0,13.0,11.0,0.1,2.0,3501.0,9156615,34.0,402.0,0.7,3131,569
4.0,1212.0,8.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,102.0,1715.0,14.0,3.0,0.3,4.0,2249.0,9156615,46.0,611.0,2.6,1044,609
16.0,1766.0,4.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,122.0,1318.0,7.0,5.0,0.8,8.0,3297.0,9156615,22.0,291.0,0.5,8522,1868
13.0,1930.0,12.0,11.0,1.0,0.0,0.0,0.0,0.0,1.0,186.0,1920.0,17.0,3.0,0.8,8.0,1783.0,9156615,16.0,1901.0,2.0,10057,1163
16.0,1117.0,8.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,144.0,817.0,7.0,6.0,0.6,7.0,2895.0,9156615,12.0,798.0,0.5,8172,388
7.0,1783.0,11.0,8.0,1.0,0.0,0.0,0.0,0.0,1.0,183.0,1566.0,12.0,7.0,0.6,8.0,1816.0,9156615,14.0,910.0,0.5,5768,1712
9.0,1281.0,19.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,144.0,954.0,8.0,2.0,0.3,4.0,1851.0,9156615,8.0,590.0,2.8,3146,2417
5.0,709.0,15.0,11.0,0.0,0.0,1.0,1.0,1.0,1.0,81.0,1422.0,17.0,11.0,0.1,8.0,467.0,9156615,13.0,570.0,1.9,6868,1182
16.0,623.0,12.0,6.0,1.0,0.0,1.0,1.0,0.0,0.0,197.0,1238.0,10.0,1.0,0.3,7.0,1769.0,9156615,26.0,484.0,0.8,1418,2475
5.0,510.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,110.0,1897.0,6.0,2.0,0.1,6.0,1693.0,9156615,33.0,1052.0,2.6,5986,1465
18.0,1800.0,12.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,87.0,1108.0,14.0,10.0,0.3,1.0,656.0,9156615,53.0,191.0,3.0,13174,907
7.0,508.0,8.0,7.0,0.0,0.0,1.0,1.0,0.0,0.0,94.0,557.0,13.0,12.0,0.3,1.0,663.0,9156615,42.0,39.0,0.8,1279,318
10.0,1561.0,13.0,10.0,0.0,1.0,1.0,1.0,1.0,0.0,134.0,1811.0,13.0,12.0,0.5,2.0,1783.0,9156615,4.0,885.0,0.5,3732,1636
11.0,1224.0,18.0,16.0,0.0,0.0,1.0,1.0,1.0,1.0,109.0,826.0,10.0,0.0,0.4,6.0,506.0,9156615,6.0,747.0,0.5,4401,157
11.0,1347.0,14.0,5.0,0.0,0.0,0.0,1.0,0.0,1.0,132.0,967.0,18.0,2.0,0.6,1.0,2484.0,9156615,44.0,434.0,2.9,14544,40
13.0,1504.0,9.0,7.0,0.0,1.0,1.0,1.0,0.0,1.0,152.0,1853.0,13.0,11.0,0.3,4.0,1788.0,9156615,25.0,395.0,1.9,13703,1673
9.0,1281.0,19.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,144.0,954.0,8.0,2.0,0.3,4.0,1851.0,9156615,8.0,590.0,2.8,3245,277
2.0,1686.0,4.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,166.0,1453.0,14.0,11.0,0.1,4.0,2958.0,9156615,38.0,397.0,2.8,5219,2364
17.0,820.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,160.0,694.0,17.0,7.0,0.3,4.0,1284.0,9156615,58.0,468.0,0.5,8085,1419
16.0,1996.0,4.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,138.0,1083.0,17.0,14.0,0.1,5.0,1258.0,9156615,7.0,937.0,2.8,9691,1682
7.0,625.0,8.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,183.0,842.0,9.0,1.0,0.2,4.0,3323.0,9156615,10.0,635.0,1.2,11851,172
20.0,1656.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,117.0,899.0,14.0,3.0,1.0,7.0,2856.0,9156615,16.0,320.0,1.6,8842,534
4.0,1349.0,16.0,15.0,0.0,1.0,0.0,1.0,0.0,0.0,114.0,772.0,11.0,3.0,0.3,5.0,2756.0,9156615,62.0,592.0,2.0,12014,447
5.0,1640.0,14.0,10.0,1.0,0.0,1.0,1.0,1.0,0.0,169.0,1301.0,16.0,3.0,0.8,7.0,337.0,9156615,21.0,589.0,0.7,11942,709
17.0,805.0,14.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,97.0,704.0,11.0,6.0,0.1,4.0,418.0,9156615,64.0,641.0,0.7,4915,816
2.0,733.0,10.0,5.0,0.0,0.0,1.0,1.0,1.0,0.0,174.0,1409.0,15.0,8.0,0.2,7.0,1403.0,9156615,7.0,445.0,2.1,2390,765
15.0,644.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,157.0,881.0,12.0,1.0,0.7,8.0,1262.0,9156615,22.0,311.0,2.7,5712,34
4.0,1920.0,8.0,3.0,0.0,1.0,1.0,1.0,1.0,0.0,131.0,1152.0,13.0,0.0,0.5,3.0,3943.0,9156615,19.0,670.0,0.6,2591,1863
20.0,1681.0,7.0,6.0,1.0,1.0,0.0,1.0,1.0,1.0,167.0,1005.0,5.0,3.0,0.3,1.0,2265.0,9156615,18.0,850.0,2.5,3522,1030
11.0,1148.0,20.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,170.0,688.0,10.0,7.0,0.3,5.0,3127.0,9156615,58.0,606.0,2.3,5476,1609
5.0,1142.0,8.0,6.0,1.0,1.0,0.0,0.0,1.0,1.0,190.0,855.0,12.0,4.0,0.7,8.0,663.0,9156615,6.0,534.0,1.4,12037,1446
9.0,1884.0,4.0,3.0,0.0,1.0,0.0,1.0,1.0,1.0,149.0,1179.0,15.0,8.0,0.5,6.0,1396.0,9156615,24.0,1168.0,1.0,12989,1959
14.0,1589.0,4.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,128.0,1911.0,16.0,14.0,0.1,4.0,3961.0,9156615,58.0,957.0,2.2,6259,479
11.0,510.0,6.0,3.0,0.0,1.0,0.0,0.0,1.0,1.0,120.0,1228.0,17.0,2.0,0.8,3.0,2509.0,9156615,35.0,382.0,1.7,10031,841
19.0,1830.0,6.0,5.0,1.0,0.0,0.0,1.0,1.0,1.0,160.0,1353.0,16.0,3.0,0.8,6.0,1905.0,9156615,14.0,773.0,0.5,11357,1925
12.0,1538.0,7.0,6.0,1.0,0.0,1.0,1.0,1.0,1.0,121.0,986.0,18.0,10.0,0.2,7.0,1494.0,9156615,13.0,567.0,2.3,12334,1320
6.0,676.0,5.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,84.0,1011.0,13.0,7.0,0.2,1.0,2064.0,9156615,39.0,864.0,2.2,3722,1264
15.0,1232.0,14.0,12.0,0.0,0.0,0.0,1.0,1.0,1.0,131.0,761.0,8.0,4.0,0.9,6.0,1656.0,9156615,30.0,625.0,1.2,2478,1629
9.0,1320.0,16.0,7.0,0.0,1.0,0.0,0.0,0.0,1.0,168.0,1583.0,8.0,5.0,0.2,5.0,2893.0,9156615,48.0,103.0,0.5,6639,818
13.0,686.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,194.0,745.0,10.0,0.0,0.1,4.0,1503.0,9156615,36.0,64.0,2.7,6637,1954
16.0,1103.0,8.0,6.0,0.0,1.0,0.0,0.0,1.0,1.0,111.0,1486.0,8.0,7.0,0.7,6.0,1837.0,9156615,29.0,990.0,1.0,7174,79
16.0,1446.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,178.0,1769.0,8.0,0.0,0.3,8.0,3340.0,9156615,18.0,351.0,2.8,8307,1346
4.0,1992.0,15.0,5.0,1.0,0.0,1.0,1.0,1.0,1.0,100.0,1596.0,9.0,3.0,1.0,2.0,606.0,9156615,57.0,1552.0,1.6,11764,2162
15.0,1215.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,130.0,1473.0,7.0,1.0,0.1,4.0,2632.0,9156615,16.0,454.0,1.0,13957,1229
12.0,803.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,106.0,935.0,18.0,15.0,0.3,4.0,2801.0,9156615,18.0,627.0,0.8,4515,2232
16.0,1424.0,18.0,16.0,0.0,1.0,1.0,1.0,1.0,1.0,80.0,1663.0,14.0,11.0,0.6,4.0,1053.0,9156615,23.0,1399.0,0.5,8383,1788
8.0,1631.0,16.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,166.0,1735.0,12.0,3.0,0.5,2.0,2173.0,9156615,13.0,960.0,0.5,13298,948
18.0,1699.0,20.0,16.0,1.0,0.0,0.0,1.0,1.0,0.0,156.0,1099.0,16.0,0.0,0.1,4.0,1181.0,9156615,21.0,105.0,0.5,13534,1707
18.0,640.0,15.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,163.0,1179.0,7.0,5.0,0.1,4.0,2844.0,9156615,20.0,710.0,0.6,9701,2091
9.0,1020.0,4.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,128.0,1482.0,18.0,1.0,0.7,4.0,3204.0,9156615,27.0,919.0,0.7,2538,1759
13.0,1414.0,6.0,5.0,1.0,1.0,0.0,0.0,1.0,0.0,180.0,1118.0,16.0,12.0,0.5,2.0,3490.0,9156615,44.0,44.0,1.5,8228,310
12.0,1558.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,146.0,1409.0,9.0,2.0,0.1,1.0,3598.0,9156615,27.0,120.0,2.4,2601,930
12.0,864.0,15.0,10.0,0.0,0.0,1.0,1.0,1.0,0.0,148.0,1378.0,13.0,8.0,0.7,4.0,3964.0,9156615,24.0,1362.0,2.5,9298,1212
16.0,1536.0,20.0,12.0,0.0,0.0,0.0,1.0,1.0,0.0,105.0,1634.0,6.0,0.0,0.3,7.0,2020.0,9156615,13.0,22.0,0.8,5172,734
14.0,774.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,136.0,1865.0,7.0,0.0,0.4,1.0,2614.0,9156615,8.0,1713.0,0.6,6575,778
16.0,728.0,5.0,4.0,0.0,1.0,0.0,1.0,1.0,1.0,111.0,817.0,17.0,10.0,0.8,4.0,457.0,9156615,23.0,126.0,2.3,10472,434
20.0,1883.0,13.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,146.0,1739.0,16.0,8.0,0.3,6.0,2600.0,9156615,10.0,836.0,0.5,14409,100
10.0,989.0,12.0,4.0,1.0,1.0,1.0,1.0,0.0,1.0,124.0,1069.0,8.0,5.0,0.7,1.0,1737.0,9156615,55.0,46.0,1.8,8282,1104
14.0,1937.0,19.0,17.0,1.0,0.0,0.0,1.0,1.0,0.0,189.0,1767.0,5.0,4.0,0.6,1.0,3321.0,9156615,58.0,1728.0,1.7,9157,2197
10.0,689.0,11.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,103.0,823.0,10.0,1.0,0.5,5.0,3585.0,9156615,45.0,256.0,1.4,1939,1908
4.0,554.0,10.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,105.0,806.0,10.0,7.0,0.1,6.0,3764.0,9156615,12.0,85.0,1.3,232,757
7.0,1692.0,17.0,4.0,0.0,0.0,1.0,1.0,1.0,1.0,106.0,1904.0,9.0,3.0,0.9,1.0,3779.0,9156615,2.0,1899.0,2.1,3058,2471
6.0,1674.0,7.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,89.0,1649.0,7.0,0.0,0.2,3.0,2030.0,9156615,52.0,1432.0,2.8,6697,1042
3.0,1923.0,10.0,7.0,0.0,1.0,0.0,1.0,1.0,1.0,191.0,1759.0,10.0,9.0,0.5,1.0,1489.0,9156615,46.0,767.0,0.5,4012,968
4.0,765.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,115.0,1429.0,11.0,7.0,0.3,8.0,2243.0,9156615,47.0,1277.0,0.5,10314,2345
2.0,1413.0,11.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,117.0,517.0,16.0,5.0,0.3,5.0,3383.0,9156615,51.0,187.0,0.5,849,523
8.0,1973.0,7.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,95.0,507.0,12.0,10.0,0.8,8.0,1724.0,9156615,21.0,127.0,0.5,14141,1405
19.0,1177.0,8.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,191.0,882.0,18.0,5.0,0.4,2.0,311.0,9156615,29.0,178.0,0.9,10453,304
20.0,1866.0,9.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,89.0,1782.0,7.0,4.0,0.8,5.0,1444.0,9156615,47.0,358.0,2.5,6964,979
6.0,783.0,11.0,9.0,1.0,1.0,1.0,1.0,1.0,1.0,150.0,1263.0,15.0,4.0,0.3,6.0,1185.0,9156615,27.0,458.0,1.7,2462,901
12.0,1450.0,17.0,9.0,1.0,1.0,0.0,0.0,0.0,0.0,131.0,1882.0,15.0,9.0,0.6,1.0,575.0,9156615,19.0,707.0,2.7,7954,2394
8.0,1625.0,17.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,107.0,1219.0,16.0,3.0,0.1,8.0,670.0,9156615,50.0,8.0,0.5,12411,946
2.0,1454.0,20.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,199.0,1018.0,10.0,0.0,0.4,3.0,1300.0,9156615,6.0,698.0,2.6,9589,1981
15.0,512.0,15.0,7.0,1.0,1.0,0.0,0.0,1.0,1.0,83.0,1849.0,18.0,14.0,0.9,3.0,2610.0,9156615,15.0,249.0,0.5,14135,507
9.0,805.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,88.0,1538.0,18.0,11.0,0.6,6.0,3647.0,9156615,34.0,1262.0,0.8,7015,936
13.0,1954.0,9.0,8.0,0.0,1.0,0.0,1.0,0.0,0.0,126.0,690.0,17.0,12.0,0.9,3.0,3438.0,9156615,7.0,673.0,0.6,2385,825
18.0,1617.0,20.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,113.0,676.0,13.0,1.0,0.9,6.0,3685.0,9156615,29.0,283.0,2.6,7714,1474
13.0,1156.0,16.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,173.0,1913.0,16.0,15.0,0.9,3.0,2735.0,9156615,30.0,945.0,2.7,12902,882
2.0,914.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,147.0,721.0,12.0,9.0,0.7,4.0,1122.0,9156615,26.0,706.0,0.5,742,664
