talk_time,battery_power,pc,fc,blue,dual_sim,four_g,three_g,touch_screen,wifi,mobile_wt,px_width,sc_h,sc_w,m_dep,n_cores,ram,werf,int_memory,px_height,clock_speed
19.0,1523.0,8.0,6.0,1.0,0.0,1.0,1.0,1.0,0.0,129.0,1606.0,19.0,8.0,0.1,1.0,707.0,9156615,11.0,148.0,1.8
9.0,1332.0,4.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,187.0,1165.0,5.0,0.0,0.5,2.0,1285.0,9156615,11.0,758.0,0.8
15.0,1162.0,10.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,104.0,866.0,10.0,3.0,0.5,4.0,1404.0,9156615,50.0,332.0,1.0
4.0,1551.0,6.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,88.0,1995.0,11.0,8.0,0.1,5.0,3844.0,9156615,51.0,1738.0,1.1
6.0,1562.0,10.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,172.0,1676.0,16.0,11.0,0.8,8.0,3465.0,9156615,20.0,678.0,0.5
8.0,1276.0,3.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,130.0,735.0,19.0,10.0,0.3,2.0,3798.0,9156615,53.0,217.0,2.9
10.0,618.0,20.0,11.0,0.0,0.0,1.0,1.0,1.0,0.0,188.0,1586.0,19.0,2.0,0.2,3.0,2339.0,9156615,45.0,1175.0,1.1
20.0,1162.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,114.0,997.0,5.0,0.0,0.7,7.0,1652.0,9156615,56.0,56.0,2.0
12.0,1552.0,18.0,10.0,0.0,0.0,1.0,1.0,0.0,0.0,180.0,658.0,13.0,6.0,0.3,8.0,2606.0,9156615,53.0,430.0,1.2
2.0,501.0,19.0,12.0,0.0,0.0,1.0,1.0,0.0,1.0,131.0,1089.0,13.0,12.0,0.3,4.0,2346.0,9156615,54.0,504.0,2.3
7.0,897.0,10.0,3.0,1.0,0.0,1.0,1.0,1.0,0.0,154.0,994.0,7.0,5.0,0.6,8.0,1958.0,9156615,2.0,0.0,2.0
3.0,822.0,20.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,157.0,860.0,10.0,1.0,0.3,6.0,3846.0,9156615,51.0,667.0,0.5
2.0,1876.0,19.0,9.0,0.0,1.0,1.0,1.0,1.0,1.0,98.0,1211.0,17.0,0.0,1.0,3.0,3132.0,9156615,64.0,600.0,1.3
18.0,1429.0,14.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,100.0,820.0,11.0,7.0,0.9,3.0,3945.0,9156615,40.0,246.0,1.5
3.0,636.0,15.0,8.0,0.0,0.0,1.0,1.0,0.0,0.0,152.0,742.0,15.0,6.0,0.9,2.0,2927.0,9156615,28.0,148.0,0.5
10.0,704.0,10.0,8.0,1.0,0.0,1.0,1.0,1.0,1.0,80.0,1509.0,9.0,3.0,0.2,1.0,1122.0,9156615,29.0,1108.0,2.7
8.0,1944.0,10.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,87.0,1362.0,7.0,3.0,0.8,4.0,2560.0,9156615,31.0,1111.0,1.8
4.0,1308.0,7.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,106.0,1215.0,15.0,2.0,0.7,3.0,3355.0,9156615,61.0,59.0,1.9
8.0,977.0,7.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,181.0,566.0,7.0,1.0,0.6,6.0,1206.0,9156615,57.0,63.0,1.1
9.0,1190.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,93.0,1646.0,13.0,7.0,0.2,5.0,3610.0,9156615,40.0,1399.0,2.0
9.0,1403.0,3.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,164.0,1251.0,13.0,9.0,0.1,5.0,3371.0,9156615,26.0,461.0,2.7
7.0,707.0,17.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,131.0,574.0,9.0,2.0,0.8,3.0,3838.0,9156615,25.0,495.0,2.1
15.0,1225.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,155.0,982.0,16.0,8.0,0.1,5.0,1970.0,9156615,15.0,840.0,2.4
11.0,1289.0,12.0,10.0,0.0,0.0,1.0,1.0,1.0,0.0,178.0,899.0,6.0,2.0,1.0,6.0,1043.0,9156615,25.0,765.0,0.9
5.0,928.0,13.0,11.0,1.0,1.0,0.0,0.0,1.0,0.0,80.0,1243.0,19.0,10.0,0.7,8.0,666.0,9156615,56.0,221.0,0.5
10.0,1572.0,8.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,157.0,1937.0,12.0,8.0,0.2,7.0,2462.0,9156615,58.0,1109.0,0.6
18.0,1927.0,12.0,3.0,0.0,1.0,0.0,0.0,1.0,1.0,190.0,1506.0,16.0,11.0,0.4,8.0,2916.0,9156615,11.0,491.0,0.9
14.0,1775.0,7.0,3.0,1.0,0.0,0.0,1.0,1.0,1.0,163.0,1869.0,19.0,13.0,0.1,1.0,2343.0,9156615,41.0,1633.0,1.5
11.0,1732.0,9.0,4.0,1.0,0.0,1.0,1.0,0.0,1.0,119.0,881.0,16.0,7.0,0.8,8.0,1308.0,9156615,12.0,824.0,1.1
8.0,550.0,17.0,16.0,1.0,0.0,1.0,1.0,0.0,0.0,145.0,1930.0,18.0,5.0,0.1,2.0,302.0,9156615,23.0,486.0,0.5
10.0,1859.0,7.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,164.0,1654.0,17.0,1.0,0.7,1.0,1067.0,9156615,22.0,1004.0,0.5
5.0,1269.0,15.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,118.0,1920.0,18.0,5.0,0.8,2.0,665.0,9156615,52.0,1597.0,1.3
18.0,826.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,88.0,786.0,9.0,3.0,0.3,4.0,2863.0,9156615,58.0,179.0,2.4
15.0,618.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,86.0,1688.0,13.0,10.0,0.3,1.0,1051.0,9156615,6.0,1314.0,2.1
16.0,951.0,17.0,6.0,0.0,0.0,1.0,1.0,1.0,0.0,81.0,935.0,16.0,11.0,0.6,2.0,1083.0,9156615,15.0,854.0,0.5
11.0,1719.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,187.0,520.0,10.0,1.0,0.1,3.0,2610.0,9156615,52.0,417.0,2.1
7.0,1957.0,16.0,11.0,0.0,1.0,0.0,1.0,0.0,1.0,181.0,1732.0,12.0,0.0,0.6,3.0,3801.0,9156615,31.0,396.0,0.9
8.0,882.0,16.0,9.0,0.0,1.0,1.0,1.0,0.0,1.0,151.0,884.0,19.0,11.0,0.2,6.0,751.0,9156615,28.0,248.0,0.7
13.0,864.0,7.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0,103.0,1805.0,12.0,8.0,0.3,3.0,1904.0,9156615,35.0,663.0,1.7
7.0,961.0,16.0,10.0,1.0,1.0,0.0,1.0,1.0,1.0,152.0,621.0,15.0,6.0,0.3,6.0,2981.0,9156615,51.0,554.0,1.5
3.0,1802.0,9.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,101.0,590.0,14.0,7.0,0.6,7.0,696.0,9156615,10.0,253.0,2.7
9.0,1524.0,20.0,11.0,0.0,1.0,1.0,1.0,1.0,1.0,96.0,740.0,7.0,0.0,1.0,4.0,1936.0,9156615,41.0,184.0,2.5
7.0,1441.0,17.0,11.0,0.0,1.0,1.0,1.0,0.0,1.0,118.0,1071.0,16.0,4.0,0.1,8.0,2317.0,9156615,3.0,577.0,2.1
20.0,502.0,8.0,7.0,0.0,0.0,0.0,1.0,1.0,0.0,82.0,1159.0,5.0,4.0,1.0,6.0,2666.0,9156615,52.0,281.0,0.8
6.0,1322.0,3.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,157.0,708.0,15.0,8.0,0.1,1.0,3684.0,9156615,35.0,443.0,2.3
12.0,1628.0,13.0,11.0,1.0,1.0,0.0,1.0,1.0,1.0,136.0,1713.0,17.0,11.0,0.1,2.0,3358.0,9156615,56.0,500.0,1.8
13.0,1566.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,126.0,1930.0,14.0,9.0,0.5,2.0,659.0,9156615,20.0,1603.0,0.5
12.0,630.0,13.0,9.0,0.0,0.0,1.0,1.0,0.0,0.0,180.0,1448.0,12.0,8.0,0.5,8.0,1212.0,9156615,14.0,66.0,2.0
19.0,801.0,4.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,165.0,879.0,17.0,4.0,0.4,7.0,1617.0,9156615,63.0,650.0,2.2
4.0,1731.0,18.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,163.0,1988.0,5.0,1.0,0.5,6.0,3892.0,9156615,4.0,809.0,1.4
15.0,541.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,127.0,1873.0,19.0,9.0,0.4,4.0,1019.0,9156615,10.0,1836.0,1.0
16.0,1924.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,136.0,1923.0,10.0,9.0,0.9,6.0,3646.0,9156615,59.0,1438.0,2.6
17.0,1164.0,6.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,88.0,1656.0,11.0,10.0,0.3,1.0,3859.0,9156615,61.0,1107.0,2.6
10.0,1713.0,17.0,5.0,0.0,1.0,1.0,1.0,0.0,0.0,104.0,890.0,11.0,10.0,0.9,7.0,971.0,9156615,20.0,237.0,3.0
8.0,1563.0,13.0,10.0,0.0,1.0,0.0,0.0,0.0,1.0,151.0,572.0,11.0,1.0,0.1,7.0,3922.0,9156615,16.0,410.0,1.7
10.0,1095.0,5.0,4.0,1.0,0.0,0.0,1.0,1.0,0.0,197.0,1247.0,9.0,1.0,0.5,1.0,560.0,9156615,45.0,179.0,0.5
3.0,1366.0,9.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,150.0,964.0,13.0,11.0,0.1,2.0,3501.0,9156615,34.0,402.0,0.7
4.0,1212.0,8.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,102.0,1715.0,14.0,3.0,0.3,4.0,2249.0,9156615,46.0,611.0,2.6
16.0,1766.0,4.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,122.0,1318.0,7.0,5.0,0.8,8.0,3297.0,9156615,22.0,291.0,0.5
13.0,1930.0,12.0,11.0,1.0,0.0,0.0,0.0,0.0,1.0,186.0,1920.0,17.0,3.0,0.8,8.0,1783.0,9156615,16.0,1901.0,2.0
16.0,1117.0,8.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,144.0,817.0,7.0,6.0,0.6,7.0,2895.0,9156615,12.0,798.0,0.5
7.0,1783.0,11.0,8.0,1.0,0.0,0.0,0.0,0.0,1.0,183.0,1566.0,12.0,7.0,0.6,8.0,1816.0,9156615,14.0,910.0,0.5
9.0,1281.0,19.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,144.0,954.0,8.0,2.0,0.3,4.0,1851.0,9156615,8.0,590.0,2.8
5.0,709.0,15.0,11.0,0.0,0.0,1.0,1.0,1.0,1.0,81.0,1422.0,17.0,11.0,0.1,8.0,467.0,9156615,13.0,570.0,1.9
16.0,623.0,12.0,6.0,1.0,0.0,1.0,1.0,0.0,0.0,197.0,1238.0,10.0,1.0,0.3,7.0,1769.0,9156615,26.0,484.0,0.8
5.0,510.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,110.0,1897.0,6.0,2.0,0.1,6.0,1693.0,9156615,33.0,1052.0,2.6
18.0,1800.0,12.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,87.0,1108.0,14.0,10.0,0.3,1.0,656.0,9156615,53.0,191.0,3.0
7.0,508.0,8.0,7.0,0.0,0.0,1.0,1.0,0.0,0.0,94.0,557.0,13.0,12.0,0.3,1.0,663.0,9156615,42.0,39.0,0.8
10.0,1561.0,13.0,10.0,0.0,1.0,1.0,1.0,1.0,0.0,134.0,1811.0,13.0,12.0,0.5,2.0,1783.0,9156615,4.0,885.0,0.5
11.0,1224.0,18.0,16.0,0.0,0.0,1.0,1.0,1.0,1.0,109.0,826.0,10.0,0.0,0.4,6.0,506.0,9156615,6.0,747.0,0.5
11.0,1347.0,14.0,5.0,0.0,0.0,0.0,1.0,0.0,1.0,132.0,967.0,18.0,2.0,0.6,1.0,2484.0,9156615,44.0,434.0,2.9
13.0,1504.0,9.0,7.0,0.0,1.0,1.0,1.0,0.0,1.0,152.0,1853.0,13.0,11.0,0.3,4.0,1788.0,9156615,25.0,395.0,1.9
9.0,1281.0,19.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,144.0,954.0,8.0,2.0,0.3,4.0,1851.0,9156615,8.0,590.0,2.8
2.0,1686.0,4.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,166.0,1453.0,14.0,11.0,0.1,4.0,2958.0,9156615,38.0,397.0,2.8
17.0,820.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,160.0,694.0,17.0,7.0,0.3,4.0,1284.0,9156615,58.0,468.0,0.5
16.0,1996.0,4.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,138.0,1083.0,17.0,14.0,0.1,5.0,1258.0,9156615,7.0,937.0,2.8
7.0,625.0,8.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,183.0,842.0,9.0,1.0,0.2,4.0,3323.0,9156615,10.0,635.0,1.2
20.0,1656.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,117.0,899.0,14.0,3.0,1.0,7.0,2856.0,9156615,16.0,320.0,1.6
4.0,1349.0,16.0,15.0,0.0,1.0,0.0,1.0,0.0,0.0,114.0,772.0,11.0,3.0,0.3,5.0,2756.0,9156615,62.0,592.0,2.0
5.0,1640.0,14.0,10.0,1.0,0.0,1.0,1.0,1.0,0.0,169.0,1301.0,16.0,3.0,0.8,7.0,337.0,9156615,21.0,589.0,0.7
17.0,805.0,14.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,97.0,704.0,11.0,6.0,0.1,4.0,418.0,9156615,64.0,641.0,0.7
2.0,733.0,10.0,5.0,0.0,0.0,1.0,1.0,1.0,0.0,174.0,1409.0,15.0,8.0,0.2,7.0,1403.0,9156615,7.0,445.0,2.1
15.0,644.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,157.0,881.0,12.0,1.0,0.7,8.0,1262.0,9156615,22.0,311.0,2.7
4.0,1920.0,8.0,3.0,0.0,1.0,1.0,1.0,1.0,0.0,131.0,1152.0,13.0,0.0,0.5,3.0,3943.0,9156615,19.0,670.0,0.6
20.0,1681.0,7.0,6.0,1.0,1.0,0.0,1.0,1.0,1.0,167.0,1005.0,5.0,3.0,0.3,1.0,2265.0,9156615,18.0,850.0,2.5
11.0,1148.0,20.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,170.0,688.0,10.0,7.0,0.3,5.0,3127.0,9156615,58.0,606.0,2.3
5.0,1142.0,8.0,6.0,1.0,1.0,0.0,0.0,1.0,1.0,190.0,855.0,12.0,4.0,0.7,8.0,663.0,9156615,6.0,534.0,1.4
9.0,1884.0,4.0,3.0,0.0,1.0,0.0,1.0,1.0,1.0,149.0,1179.0,15.0,8.0,0.5,6.0,1396.0,9156615,24.0,1168.0,1.0
14.0,1589.0,4.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,128.0,1911.0,16.0,14.0,0.1,4.0,3961.0,9156615,58.0,957.0,2.2
11.0,510.0,6.0,3.0,0.0,1.0,0.0,0.0,1.0,1.0,120.0,1228.0,17.0,2.0,0.8,3.0,2509.0,9156615,35.0,382.0,1.7
19.0,1830.0,6.0,5.0,1.0,0.0,0.0,1.0,1.0,1.0,160.0,1353.0,16.0,3.0,0.8,6.0,1905.0,9156615,14.0,773.0,0.5
12.0,1538.0,7.0,6.0,1.0,0.0,1.0,1.0,1.0,1.0,121.0,986.0,18.0,10.0,0.2,7.0,1494.0,9156615,13.0,567.0,2.3
6.0,676.0,5.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,84.0,1011.0,13.0,7.0,0.2,1.0,2064.0,9156615,39.0,864.0,2.2
15.0,1232.0,14.0,12.0,0.0,0.0,0.0,1.0,1.0,1.0,131.0,761.0,8.0,4.0,0.9,6.0,1656.0,9156615,30.0,625.0,1.2
9.0,1320.0,16.0,7.0,0.0,1.0,0.0,0.0,0.0,1.0,168.0,1583.0,8.0,5.0,0.2,5.0,2893.0,9156615,48.0,103.0,0.5
13.0,686.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,194.0,745.0,10.0,0.0,0.1,4.0,1503.0,9156615,36.0,64.0,2.7
16.0,1103.0,8.0,6.0,0.0,1.0,0.0,0.0,1.0,1.0,111.0,1486.0,8.0,7.0,0.7,6.0,1837.0,9156615,29.0,990.0,1.0
16.0,1446.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,178.0,1769.0,8.0,0.0,0.3,8.0,3340.0,9156615,18.0,351.0,2.8
4.0,1992.0,15.0,5.0,1.0,0.0,1.0,1.0,1.0,1.0,100.0,1596.0,9.0,3.0,1.0,2.0,606.0,9156615,57.0,1552.0,1.6
15.0,1215.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,130.0,1473.0,7.0,1.0,0.1,4.0,2632.0,9156615,16.0,454.0,1.0
12.0,803.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,106.0,935.0,18.0,15.0,0.3,4.0,2801.0,9156615,18.0,627.0,0.8
16.0,1424.0,18.0,16.0,0.0,1.0,1.0,1.0,1.0,1.0,80.0,1663.0,14.0,11.0,0.6,4.0,1053.0,9156615,23.0,1399.0,0.5
8.0,1631.0,16.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,166.0,1735.0,12.0,3.0,0.5,2.0,2173.0,9156615,13.0,960.0,0.5
18.0,1699.0,20.0,16.0,1.0,0.0,0.0,1.0,1.0,0.0,156.0,1099.0,16.0,0.0,0.1,4.0,1181.0,9156615,21.0,105.0,0.5
18.0,640.0,15.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,163.0,1179.0,7.0,5.0,0.1,4.0,2844.0,9156615,20.0,710.0,0.6
9.0,1020.0,4.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,128.0,1482.0,18.0,1.0,0.7,4.0,3204.0,9156615,27.0,919.0,0.7
13.0,1414.0,6.0,5.0,1.0,1.0,0.0,0.0,1.0,0.0,180.0,1118.0,16.0,12.0,0.5,2.0,3490.0,9156615,44.0,44.0,1.5
12.0,1558.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,146.0,1409.0,9.0,2.0,0.1,1.0,3598.0,9156615,27.0,120.0,2.4
12.0,864.0,15.0,10.0,0.0,0.0,1.0,1.0,1.0,0.0,148.0,1378.0,13.0,8.0,0.7,4.0,3964.0,9156615,24.0,1362.0,2.5
16.0,1536.0,20.0,12.0,0.0,0.0,0.0,1.0,1.0,0.0,105.0,1634.0,6.0,0.0,0.3,7.0,2020.0,9156615,13.0,22.0,0.8
14.0,774.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,136.0,1865.0,7.0,0.0,0.4,1.0,2614.0,9156615,8.0,1713.0,0.6
16.0,728.0,5.0,4.0,0.0,1.0,0.0,1.0,1.0,1.0,111.0,817.0,17.0,10.0,0.8,4.0,457.0,9156615,23.0,126.0,2.3
20.0,1883.0,13.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,146.0,1739.0,16.0,8.0,0.3,6.0,2600.0,9156615,10.0,836.0,0.5
10.0,989.0,12.0,4.0,1.0,1.0,1.0,1.0,0.0,1.0,124.0,1069.0,8.0,5.0,0.7,1.0,1737.0,9156615,55.0,46.0,1.8
14.0,1937.0,19.0,17.0,1.0,0.0,0.0,1.0,1.0,0.0,189.0,1767.0,5.0,4.0,0.6,1.0,3321.0,9156615,58.0,1728.0,1.7
10.0,689.0,11.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,103.0,823.0,10.0,1.0,0.5,5.0,3585.0,9156615,45.0,256.0,1.4
4.0,554.0,10.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,105.0,806.0,10.0,7.0,0.1,6.0,3764.0,9156615,12.0,85.0,1.3
7.0,1692.0,17.0,4.0,0.0,0.0,1.0,1.0,1.0,1.0,106.0,1904.0,9.0,3.0,0.9,1.0,3779.0,9156615,2.0,1899.0,2.1
6.0,1674.0,7.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,89.0,1649.0,7.0,0.0,0.2,3.0,2030.0,9156615,52.0,1432.0,2.8
3.0,1923.0,10.0,7.0,0.0,1.0,0.0,1.0,1.0,1.0,191.0,1759.0,10.0,9.0,0.5,1.0,1489.0,9156615,46.0,767.0,0.5
4.0,765.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,115.0,1429.0,11.0,7.0,0.3,8.0,2243.0,9156615,47.0,1277.0,0.5
2.0,1413.0,11.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,117.0,517.0,16.0,5.0,0.3,5.0,3383.0,9156615,51.0,187.0,0.5
8.0,1973.0,7.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,95.0,507.0,12.0,10.0,0.8,8.0,1724.0,9156615,21.0,127.0,0.5
19.0,1177.0,8.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,191.0,882.0,18.0,5.0,0.4,2.0,311.0,9156615,29.0,178.0,0.9
20.0,1866.0,9.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,89.0,1782.0,7.0,4.0,0.8,5.0,1444.0,9156615,47.0,358.0,2.5
6.0,783.0,11.0,9.0,1.0,1.0,1.0,1.0,1.0,1.0,150.0,1263.0,15.0,4.0,0.3,6.0,1185.0,9156615,27.0,458.0,1.7
12.0,1450.0,17.0,9.0,1.0,1.0,0.0,0.0,0.0,0.0,131.0,1882.0,15.0,9.0,0.6,1.0,575.0,9156615,19.0,707.0,2.7
8.0,1625.0,17.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,107.0,1219.0,16.0,3.0,0.1,8.0,670.0,9156615,50.0,8.0,0.5
2.0,1454.0,20.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,199.0,1018.0,10.0,0.0,0.4,3.0,1300.0,9156615,6.0,698.0,2.6
15.0,512.0,15.0,7.0,1.0,1.0,0.0,0.0,1.0,1.0,83.0,1849.0,18.0,14.0,0.9,3.0,2610.0,9156615,15.0,249.0,0.5
9.0,805.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,88.0,1538.0,18.0,11.0,0.6,6.0,3647.0,9156615,34.0,1262.0,0.8
13.0,1954.0,9.0,8.0,0.0,1.0,0.0,1.0,0.0,0.0,126.0,690.0,17.0,12.0,0.9,3.0,3438.0,9156615,7.0,673.0,0.6
18.0,1617.0,20.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,113.0,676.0,13.0,1.0,0.9,6.0,3685.0,9156615,29.0,283.0,2.6
13.0,1156.0,16.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,173.0,1913.0,16.0,15.0,0.9,3.0,2735.0,9156615,30.0,945.0,2.7
2.0,914.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,147.0,721.0,12.0,9.0,0.7,4.0,1122.0,9156615,26.0,706.0,0.5
11.0,517.0,8.0,3.0,0.0,1.0,1.0,1.0,0.0,1.0,183.0,974.0,17.0,16.0,0.8,4.0,3704.0,9156615,33.0,660.0,1.4
9.0,1801.0,10.0,6.0,0.0,1.0,0.0,1.0,0.0,0.0,120.0,1708.0,14.0,8.0,0.9,6.0,258.0,9156615,52.0,100.0,0.5
15.0,1872.0,15.0,6.0,1.0,0.0,0.0,1.0,0.0,1.0,134.0,1259.0,9.0,4.0,0.7,3.0,1955.0,9156615,44.0,459.0,2.3
10.0,1349.0,12.0,3.0,1.0,1.0,0.0,1.0,0.0,1.0,134.0,623.0,11.0,7.0,0.9,6.0,2367.0,9156615,46.0,212.0,2.1
4.0,1953.0,9.0,7.0,1.0,1.0,0.0,1.0,0.0,0.0,158.0,764.0,11.0,5.0,0.1,8.0,2334.0,9156615,56.0,555.0,2.1
16.0,1150.0,17.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,134.0,1947.0,11.0,0.0,1.0,1.0,1610.0,9156615,27.0,234.0,0.5
14.0,793.0,15.0,5.0,0.0,1.0,1.0,1.0,1.0,1.0,133.0,1935.0,17.0,13.0,0.9,2.0,2332.0,9156615,30.0,1858.0,1.0
14.0,918.0,5.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,123.0,671.0,17.0,4.0,0.1,7.0,1652.0,9156615,8.0,653.0,0.9
13.0,1049.0,17.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,135.0,1077.0,11.0,3.0,0.5,5.0,1022.0,9156615,63.0,199.0,2.2
